,type,image_link-href,address,toilet_name,district_name,coords,award_int
235,MRT Station,https://www.toilet.org.sg/gallery/350/4-star-toilet-jurong-east-mrt-station-ew24,"10 Jurong East Street 12, S(609690)",Jurong East MRT Station (EW24),South West District,"(1.3335109, 103.742022)",4
236,Bus Interchange,https://www.toilet.org.sg/gallery/313/3-star-toilet-queens-street-bus-interchange,"Queens Street Bus Terminal, S(884001)",Queens Street Bus Terminal,Central District,"(1.303537, 103.8567355)",3
237,Shopping Centre,https://www.toilet.org.sg/gallery/131/4-star-toilet-888-plaza,"Blk 888, Woodlands Drive 50, S(731888)",888 Plaza,North West District,"(1.4377241, 103.7952735)",4
238,Tourist Attraction,https://www.toilet.org.sg/gallery/61/5-star-toilet-sentosa-wings-of-time,"Wings of Time, Sentosa, S(099538)",Sentosa Wings of Time,Central District,"(1.2509413, 103.8173405)",5
241,MRT Station,https://www.toilet.org.sg/gallery/205/4-star-toilet-dt23-bendemeer-station,"11 Kallang Bahru, S(339356)",Bendemeer MRT Station (DT23),Central District,"(1.3138048, 103.8628965)",4
242,MRT Station,https://www.toilet.org.sg/gallery/376/5-star-toilet-canberra-mrt-station-ns12,"11, Canberra Link, S(756922)",Canberra MRT Station (NS12),North West District,"(1.4435047, 103.8294255)",5
243,Industrial Complex,https://www.toilet.org.sg/gallery/415/3-Star-Toilet-SkyTech,"2 Bukit Batok Street 24, S(659480)",SkyTech,South West District,"(1.3421371, 103.7544416)",3
244,Industrial Complex,https://www.toilet.org.sg/gallery/183/4-star-toilet-cleantech-two,"CleanTech One, 1 Clean Tech Loop, S(637141)",CleanTech One,South West District,"(1.3550366, 103.6921728)",4
245,Park,https://www.toilet.org.sg/gallery/163/3-star-toilet-jurong-eco-garden,"1 Cleantech Loop Singapore, S(637141)",Jurong Eco Garden,South West District,"(1.3553891, 103.6921766)",3
246,Tourist Attraction,https://www.toilet.org.sg/gallery/399/5-star-toilet-mount-faber-peak,"109 Mount Faber Road, Level 1, S(099230)",Mount Faber Peak,Central District,"(1.2713774, 103.8192945)",5
247,Market & Food Centre,https://www.toilet.org.sg/gallery/25/4-star-toilet-adam-road-food-centre,"2 Adam Road, S(289876)",Adam Road Food Centre,Central District,"(1.3240414, 103.8141545)",4
248,Bus Interchange,https://www.toilet.org.sg/gallery/296/3-star-toilet-upper-east-coast-bus-terminal,"740 Upper East Coast Road, S(465549)",Upper East Coast Bus Terminal,South East District,"(1.3182065, 103.9526012)",3
249,MRT Station,https://www.toilet.org.sg/gallery/320/4-star-toilet-hougang-mrt-station-ne14,"80 Hougang Central, S(538758)",Hougang MRT Station (NE14),North East District,"(1.3719899, 103.8919701)",4
250,Industrial Complex,https://www.toilet.org.sg/gallery/386/3-star-toilet-launchpad-jid,"2 Cleantech Loop, S(637144)",LaunchPad @ JID,South West District,"(1.3541418, 103.692448)",3
251,MRT Station,https://www.toilet.org.sg/gallery/345/4-star-toilet-chineses-garden-mrt-station-ew-25,"151 Boon Lay Way, S(609959)",Chinese Garden MRT Staton (EW25),South West District,"(1.3424914, 103.7324817)",4
252,Tourist Attraction,https://www.toilet.org.sg/gallery/242/5-stars-sentosa-palawan-beach-west,"Palawan Beach Walk, S(098038)",Sentosa Palawan Beach (West),Central District,"(1.2489493, 103.8223737)",5
253,MRT Station,https://www.toilet.org.sg/gallery/312/4-star-toilet-outram-mrt-station-ne3,10 Eu Tong Sen Street S(059815),Outram MRT Station (NE3),Central District,"(1.2887613, 103.8468272)",4
254,MRT Station,https://www.toilet.org.sg/gallery/256/4-stars-upper-changi-mrt-station,"690 Upper Changi Road East, S(485990)",Upper Changi MRT Station,South East District,"(1.3422286, 103.9614026)",4
255,MRT Station,https://www.toilet.org.sg/gallery/195/4-star-toilet-kent-ridge-mrt-station,"100, North Buona Vista Road, S(139345)",Kent Ridge MRT station,South West District,"(1.3073105, 103.7898406)",4
256,Bus Interchange,https://www.toilet.org.sg/gallery/252/5-stars-bukit-panjang-intergrated-transport-hub,"15 Petir Road, S(678270)",Bukit Panjang Intergrated Transport Hub,North West District,"(1.3784446, 103.7638759)",5
257,MRT Station,https://www.toilet.org.sg/gallery/193/4-star-toilet-buona-vista-mrt-station,"301, South Buona Vista Road, S(118177)",Buona Vista MRT station,South West District,"(1.2933881, 103.7842699)",4
258,MRT Station,https://www.toilet.org.sg/gallery/418/4-Star-Toilet-Lentor-Mrt-Station-TE-5-,"1 Lentor Drive, S(789361)",Lentor MRT Station (TE5),Central District,"(1.3853428, 103.8362834)",4
259,Government Office,https://www.toilet.org.sg/gallery/64/5-star-toilet-health-sciences-authority,"11 Outram Road, S(169078)",Health Sciences Authority,Central District,"(1.2804789, 103.8384306)",5
260,Shopping Centre,https://www.toilet.org.sg/gallery/171/4-star-toilet-taman-jurong-shopping-centre,Blk 399 Yung Sheng Road (Near Party World/NTUC),Taman Jurong Shopping Centre,South West District,"(1.3345709, 103.72059)",4
261,MRT Station,https://www.toilet.org.sg/gallery/359/4-star-toilet-beauty-world-mrt-station,"101 Upper Bukit Timah Road, S(588216)",Beauty World MRT Station (DT5),South West District,"(1.3408774, 103.7758127)",4
262,MRT Station,https://www.toilet.org.sg/gallery/362/4-star-toilet-hillview-mrt-station,"510 Upper Bukit Timah Road, S(678211)",Hillview MRT Station (DT3),North West District,"(1.3522743, 103.7697625)",4
263,Tourist Attraction,https://www.toilet.org.sg/gallery/243/5-stars-sentosa-palawan-beach-east,"Palawan Beach Walk, S(098521)",Sentosa Palawan Beach (East),Central District,"(1.2489493, 103.8223737)",5
264,Private Office,https://www.toilet.org.sg/gallery/71/5-star-toilet-lum-chang-building,"14, Kung Chong Road, S(159150)",Lum Chang Building,Central District,"(1.2900376, 103.8112565)",5
265,MRT Station,https://www.toilet.org.sg/gallery/250/4-stars-tampines-west-mrt-station-dt31,"2 Tampines Avenue 4, S(529683)",Tampines West MRT Station (DT31),North East District,"(1.3454606, 103.938236)",4
266,MRT Station,https://www.toilet.org.sg/gallery/194/4-star-toilet-one-north-mrt-station,"9, Ayer Rajah Avenue, S(138647)",One North MRT station,South West District,"(1.2993906, 103.7872862)",4
267,Market & Food Centre,https://www.toilet.org.sg/gallery/21/4-star-toilet-sembawang-hill-food-centre,"590 Upper Thomson Road, S(574419)",Sembawang Hill Food Centre,Central District,"(1.3723618, 103.8290076)",4
268,MRT Station,https://www.toilet.org.sg/gallery/273/4-star-toilet-mattar-mrt-station-dt25,"60 Merpati Road, S(379314)",Mattar MRT Station (DT25),South East District,"(1.3272359, 103.8828184)",4
