,web-scraper-order,web-scraper-start-url,type,image_link,image_link-href,award,address,toilet_name,district_name,coords
0,1647935913-3904,https://www.toilet.org.sg/loomapdirectory,Dormitory,Unison Construction Dormitory,https://www.toilet.org.sg/gallery/201/5-star-toilet-unison-construction-dormitor,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","6 Tuas Basin Link, S(638760)",Unison Construction Dormitory,South West District,"(1.3184954, 103.6484818)"
1,1647935913-3874,https://www.toilet.org.sg/loomapdirectory,MRT Station,Dakota MRT Station,https://www.toilet.org.sg/gallery/143/4-star-toilet-dakota-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","201 Airport Road, S(397973)",Dakota MRT Station,South East District,
2,1647935913-3895,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Bukit  Batok Bus Interchange,https://www.toilet.org.sg/gallery/397/5-star-toilet-bukit-batok-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","631 Bukit Batok Central, S(650631)",Bukit  Batok Bus Interchange,South West District,"(1.3496816, 103.7512047)"
3,1647935913-3641,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Harbourfront Bus Terminal,https://www.toilet.org.sg/gallery/302/4-star-toilet-harbourfront-bus-terminal,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","4 Seah Im Road, S(099115)",Harbourfront Bus Terminal,Central District,"(1.2669654, 103.8190449)"
4,1647935913-3857,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Vista Point,https://www.toilet.org.sg/gallery/127/3-star-toilet-vista-point,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 548 Woodlands Drive 44, S(730548)",Vista Point,North West District,"(1.4313546, 103.7940534)"
5,1647935913-3797,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Serangoon Garden Market,https://www.toilet.org.sg/gallery/104/5-star-toilet-serangoon-garden-market,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","49A Serangoon Garden Way, S(555945)",Serangoon Garden Market,North East District,"(1.363381, 103.866835)"
6,1647935913-3821,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Rivervale Plaza,https://www.toilet.org.sg/gallery/112/4-star-toilet-rivervale-plaza,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","118, Rivervale Plaza, S(540118)",Rivervale Plaza,North East District,"(1.3855939, 103.9019834)"
7,1647935913-3649,https://www.toilet.org.sg/loomapdirectory,Club,Seletar Country Club (Ballroom),https://www.toilet.org.sg/gallery/267/5-Stars-Seletar-Country-Club,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","101 Seletar Club Road, Singapore (798273)",Seletar Country Club (Ballroom),Central District,"(1.4096081, 103.8581298)"
8,1647935913-3849,https://www.toilet.org.sg/loomapdirectory,MRT Station,Woodlands South Station (TEL3),https://www.toilet.org.sg/gallery/389/4-star-toilet-woodlands-north-mrt-station-tel3,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","30 Woodlands Drive 17, S(737741)",Woodlands South Station (TEL3),North West District,"(1.4273055, 103.790646)"
9,1647935913-3851,https://www.toilet.org.sg/loomapdirectory,MRT Station,Yew Tee MRT Station,https://www.toilet.org.sg/gallery/120/4-star-toilet-yew-tee-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","61 Choa Chu Kang Drive, S(689715)",Yew Tee MRT Station,North West District,"(1.3974769, 103.7474263)"
10,1647935913-3759,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Dawson Place Shopping Centre,https://www.toilet.org.sg/gallery/46/4-star-toilet-dawson-place-shopping-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","57 Dawson Road, S(142057)",Dawson Place Shopping Centre,Central District,"(1.2927082, 103.8110301)"
11,1647935913-3714,https://www.toilet.org.sg/loomapdirectory,MRT Station,Dhoby Ghaut MRT Station Circle Line,https://www.toilet.org.sg/gallery/78/4-star-toilet-dhoby-ghaut-mrt-station-circle-line,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","11 Orchard Road, S(238826)",Dhoby Ghaut MRT Station Circle Line,Central District,"(1.2986545, 103.8464611)"
12,1647935913-3826,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Sembawang Bus Interchange,https://www.toilet.org.sg/gallery/137/4-star-toilet-sembawang-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","11A, Sembawang Vista, S(757527)",Sembawang Bus Interchange,North West District,"(1.4472813, 103.8195946)"
13,1647935913-3713,https://www.toilet.org.sg/loomapdirectory,MRT Station,Dhoby Ghaut MRT Station,https://www.toilet.org.sg/gallery/89/4-star-toilet-dhoby-ghaut-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","11 Orchard Road, S(238826) NS24",Dhoby Ghaut MRT Station,Central District,"(1.298811, 103.846127)"
14,1647935913-3800,https://www.toilet.org.sg/loomapdirectory,MRT Station,Buangkok MRT Station (NE15),https://www.toilet.org.sg/gallery/319/4-star-toilet-buangkok-mrt-station-ne15,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Sengkang Central, S(545061)",Buangkok MRT Station (NE15),North East District,"(1.3822965, 103.8928083)"
15,1647935913-3856,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Sembawang Mart,https://www.toilet.org.sg/gallery/130/5-star-toilet-sembawang-mart,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 511 Canberra Road, S(750511)",Sembawang Mart,North West District,"(1.4538337, 103.8195883)"
16,1647935913-3809,https://www.toilet.org.sg/loomapdirectory,MRT Station,Tampines East MRT Station (DT33),https://www.toilet.org.sg/gallery/248/4-stars-tampines-east-mrt-station-dt33,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","20 Tampines Avenue 7, S(529623)",Tampines East MRT Station (DT33),North East District,"(1.3568215, 103.9556869)"
17,1647935913-3693,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Whampoa Drive Makan Place@Blk 92,https://www.toilet.org.sg/gallery/342/3-star-toilet-whampoa-drive-makan-place-blk-92,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 92 Whampoa Drive, S(320092)",Whampoa Drive Makan Place@Blk 92,Central District,"(1.3231083, 103.8538791)"
18,1647935913-3872,https://www.toilet.org.sg/loomapdirectory,MRT Station,Bedok MRT Station,https://www.toilet.org.sg/gallery/145/4-star-toilet-bedok-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","315 New Upper Changi Road, S(467347)",Bedok MRT Station,South East District,"(1.3239657, 103.9300335)"
19,1647935913-3959,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Yew Tee Square,https://www.toilet.org.sg/gallery/166/3-star-toilet-yew-tee-square,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","624 Choa Chu Kang Street 62, S(680624)",Yew Tee Square,South West District,"(1.3981277, 103.7468169)"
20,1647935913-3707,https://www.toilet.org.sg/loomapdirectory,MRT Station,Caldecott MRT Station (TE9),https://www.toilet.org.sg/gallery/417/4-Star-Toilet-Caldecott-Mrt-Station-TE9-,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","38 Toa Payoh Rise, S(298113)",Caldecott MRT Station (TE9),Central District,"(1.3378174, 103.8394749)"
21,1647935913-3947,https://www.toilet.org.sg/loomapdirectory,Place of Worship,Assyakirin Mosque,https://www.toilet.org.sg/gallery/385/4-star-toilet-assyakirin-mosque,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","550 Yung An Road, S(618617)",Assyakirin Mosque,South West District,"(1.3355308, 103.7195949)"
22,1647935913-3890,https://www.toilet.org.sg/loomapdirectory,Private Office,Kah Engineering (1988) Pte Ltd,https://www.toilet.org.sg/gallery/139/3-star-toilet-kah-engineering-1986-pte-ltd,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","96B Jalan Senang, S(418482)",Kah Engineering (1988) Pte Ltd,South East District,"(1.3269508, 103.9167487)"
23,1647935913-3930,https://www.toilet.org.sg/loomapdirectory,MRT Station,Choa Chu Kang MRT Station (NS4),https://www.toilet.org.sg/gallery/370/4-star-toilet-choa-chu-kang-mrt-station-ns4,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>",10 Choa Chu Kang Avenue 4 S(689810),Choa Chu Kang MRT Station (NS4),South West District,"(1.3852487, 103.7443487)"
24,1647935913-3663,https://www.toilet.org.sg/loomapdirectory,Hospital,Tan Tock Seng Hospital,https://www.toilet.org.sg/gallery/48/5-star-toilet-tan-tock-seng-hospital,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","11 Jalan Tan Tock Seng, S(308433)",Tan Tock Seng Hospital,Central District,"(1.3210806, 103.8456848)"
25,1647935913-3712,https://www.toilet.org.sg/loomapdirectory,MRT Station,Commonwealth MRT Station (EW20),https://www.toilet.org.sg/gallery/347/4-star-toilet-commonwealth-mrt-station-ew20,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","375 Commonwealth Avenue, S(149735)",Commonwealth MRT Station (EW20),Central District,"(1.3024362, 103.798297)"
26,1647935913-3766,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,The Shoppes at Marina Bay Sands,https://www.toilet.org.sg/gallery/207/6-star-toilet-the-shoppes-at-marina-bay-sands,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","2 Bayfront Avenue, S(018972)",The Shoppes at Marina Bay Sands,Central District,
27,1647935913-3898,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Joo Koon Bus Interchange,https://www.toilet.org.sg/gallery/290/3-star-toilet-joo-koon-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","55 Benoi Road, S(629907)",Joo Koon Bus Interchange,South West District,"(1.3261298, 103.6783611)"
28,1647935913-3753,https://www.toilet.org.sg/loomapdirectory,Place of worship,St.George's Church,https://www.toilet.org.sg/gallery/407/3-star-toilet-st-george-s-church,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","44 Minden Road, S(248816)",St.George's Church,Central District,"(1.304811, 103.815153)"
29,1647935913-3716,https://www.toilet.org.sg/loomapdirectory,MRT Station,,,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","90 Bras Basah Road, S(189562)",Esplanade MRT Station,Central District,"(1.2934, 103.8556519)"
30,1647935913-3671,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Berseh Food Centre,https://www.toilet.org.sg/gallery/22/4-star-toilet-berseh-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","166 Jalan Besar, S(208877)",Berseh Food Centre,Central District,"(1.3075861, 103.8569093)"
31,1647935913-3829,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Woodlands Temporary Bus Interchange,https://www.toilet.org.sg/gallery/136/3-star-toilet-woodlands-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","3A Woodlands Square, S(727735)",Woodlands Temporary Bus Interchange,North West District,"(1.4382545, 103.7866262)"
32,1647935913-3858,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,,,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 768 Woodlands Street 61, S(730768)",Woodlands Mart,North West District,"(1.445962, 103.798159)"
33,1647935913-3831,https://www.toilet.org.sg/loomapdirectory,Food Court,NTUC Foodfare KTPH,https://www.toilet.org.sg/gallery/134/4-star-toilet-ntuc-foodfare-ktph,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","90 Yishun Central, S(768828)",NTUC Foodfare KTPH,North West District,"(1.4242972, 103.8385907)"
34,1647935913-3901,https://www.toilet.org.sg/loomapdirectory,Coffeeshop,NTUC Foodfare Choa Chu Kang,https://www.toilet.org.sg/gallery/181/3-star-toilet-ntuc-foodfare-choa-chu-kang,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 303, Choa Chu Kang Avenue 4, #01-723, S(680303)",NTUC Foodfare Choa Chu Kang,South West District,"(1.3845137, 103.7436364)"
35,1647935913-3828,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Woodlands Integrated Transport Hub,https://www.toilet.org.sg/gallery/424/5-Star-Toilet-Woodlands-Integrated-Transport-Hub,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","30 Woodlands Avenue, S(738343)",Woodlands Integrated Transport Hub,North West District,"(1.437284, 103.787152)"
36,1647935913-3701,https://www.toilet.org.sg/loomapdirectory,MRT Station,Botanic Garden (DT9),https://www.toilet.org.sg/gallery/318/4-star-toilet-botanic-garden-mrt-station-dt9,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","100 Cluny Park, S(257494)",Botanic Garden (DT9),Central District,"(1.3222145, 103.8145958)"
37,1647935913-3790,https://www.toilet.org.sg/loomapdirectory,Club,NTUC Club Downtown East,https://www.toilet.org.sg/gallery/394/5-star-toilet-ntuc-club-downtown-east,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>",1 Pasir Ris Close S(519599),NTUC Club Downtown East,North East District,"(1.3788396, 103.9549927)"
38,1647935913-3646,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,St. Michael's Bus Terminal,https://www.toilet.org.sg/gallery/293/3-star-toilet-st-michael-s-bus-terminal,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Whampoa Road, S(327691)",St. Michael's Bus Terminal,Central District,"(1.326925, 103.855475)"
39,1647935913-3639,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Ang Mo Kio Bus Depot,https://www.toilet.org.sg/gallery/404/4-star-toilet-ang-mo-kio-bus-depot,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Ang Mo Kio Street 52, S(569140)",Ang Mo Kio Bus Depot,Central District,"(1.3725641, 103.8533049)"
40,1647935913-3883,https://www.toilet.org.sg/loomapdirectory,MRT Station,Serangoon MRT Station (NE12),https://www.toilet.org.sg/gallery/328/4-star-toilet-serangoon-mrt-station-ne12,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","600 Upper Serangoon Rd., S(534801)",Serangoon MRT Station (NE12),South East District,"(1.3493666, 103.873754)"
41,1647935913-3850,https://www.toilet.org.sg/loomapdirectory,MRT Station,Woodlands Station (TEL2),https://www.toilet.org.sg/gallery/387/4-star-toilet-woodlands-mrt-station-tel2,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","11 Woodlands Square, S(737736)",Woodlands Station (TEL2),North West District,"(1.435942, 103.785665)"
42,1647935913-3662,https://www.toilet.org.sg/loomapdirectory,Hospital,Sengkang General Hospital,https://www.toilet.org.sg/gallery/317/4-star-toilet-sengkang-general-hospital,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","110 Sengkang East Way, S(544886)",Sengkang General Hospital,Central District,"(1.3936788, 103.8931894)"
43,1647935913-3719,https://www.toilet.org.sg/loomapdirectory,MRT Station,Fort Canning MRT Station (DT20),https://www.toilet.org.sg/gallery/202/4-star-toilet-dt20-fort-canning-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","170 River Valley Road, S(179038)",Fort Canning MRT Station (DT20),Central District,"(1.2929188, 103.8445026)"
44,1647935913-3775,https://www.toilet.org.sg/loomapdirectory,Tourist Attraction,Sentosa Imbiah Lookout,https://www.toilet.org.sg/gallery/60/5-star-toilet-sentosa-imbiah-lookout,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Imbiah Lookout, Sentosa, S(099538)",Sentosa Imbiah Lookout,Central District,"(1.2548481, 103.8176246)"
45,1647935913-3734,https://www.toilet.org.sg/loomapdirectory,MRT Station,Newton MRT Station (DT11),https://www.toilet.org.sg/gallery/324/4-star-toilet-newton-mrt-station-dt11,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","235 Bukit Timah Road, S(229901)",Newton MRT Station (DT11),Central District,"(1.3138094, 103.8377028)"
46,1647935913-3884,https://www.toilet.org.sg/loomapdirectory,MRT Station,Serangoon MRT Station CC13,https://www.toilet.org.sg/gallery/259/4-stars-serangoon-mrt-station-cc13,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","600 Upper Serangoon Rd, S(534801)",Serangoon MRT Station CC13,South East District,"(1.3493666, 103.873754)"
47,1647935913-3813,https://www.toilet.org.sg/loomapdirectory,MRT Station,Tanah Merah MRT Station,https://www.toilet.org.sg/gallery/100/4-star-toilet-tanah-merah-mrt,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","920 New Upper Changi Road, (467356)",Tanah Merah MRT Station,North East District,"(1.3272004, 103.9463949)"
48,1647935913-3710,https://www.toilet.org.sg/loomapdirectory,MRT Station,City Hall MRT Station,https://www.toilet.org.sg/gallery/90/4-star-toilet-city-hall-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","150 North Bridge Road, S(179100) EW13",City Hall MRT Station,Central District,"(1.2930838, 103.8520376)"
49,1647935913-3758,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Buangkok Square Mall,https://www.toilet.org.sg/gallery/398/5-star-toilet-buangkok-square-mall,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","991 Buangkok Link, Buangkok Square Mall, S(530991)",Buangkok Square Mall,Central District,
50,1647935913-3799,https://www.toilet.org.sg/loomapdirectory,MRT Station,Bedok Reservoir MRT Station (DT30),https://www.toilet.org.sg/gallery/251/4-stars-bedok-reservoir-mrt-station-dt30,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","371 Bedok North Avenue 3, S(469724)",Bedok Reservoir MRT Station (DT30),North East District,"(1.3330224, 103.9339584)"
51,1647935913-3952,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Greenridge Shopping Centre,https://www.toilet.org.sg/gallery/168/4-star-toilet-greenridge-shopping-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","524A Jelapang Road, S(671524)",Greenridge Shopping Centre,South West District,"(1.3853755, 103.7663006)"
52,1647935913-3742,https://www.toilet.org.sg/loomapdirectory,MRT Station,Raffles Place MRT Station,https://www.toilet.org.sg/gallery/94/4-star-toilet-raffles-place-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","5 Raffles Place, S(048618)",Raffles Place MRT Station,Central District,"(1.2844808, 103.8514561)"
53,1647935913-3808,https://www.toilet.org.sg/loomapdirectory,MRT Station,Sengkang MRT Station (NE16),https://www.toilet.org.sg/gallery/327/4-star-toilet-sengkang-mrt-staton-ne16,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","5 Sengkang Square, S(545062)",Sengkang MRT Station (NE16),North East District,"(1.3914004, 103.895835)"
54,1647935913-3845,https://www.toilet.org.sg/loomapdirectory,MRT Station,Springleaf MRT Station (TE4),https://www.toilet.org.sg/gallery/420/4-Star-Toilet-Springleaf-Mrt-Station-TE-4-,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","825 Upper Thomson Road, S(787140)",Springleaf MRT Station (TE4),North West District,"(1.396435, 103.8186104)"
55,1647935913-3794,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Chomp Chomp Food Centre,https://www.toilet.org.sg/gallery/103/3-star-toilet-chomp-chomp-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","20 Kensington Park Road, S(557269)",Chomp Chomp Food Centre,North East District,"(1.3642285, 103.8666004)"
56,1647935913-3695,https://www.toilet.org.sg/loomapdirectory,MRT Station,Ang Mo Kio MRT station,https://www.toilet.org.sg/gallery/82/4-star-toilet-ang-mo-kio-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","2450 Ang Mo Kio Avenue 8, S(569811)",Ang Mo Kio MRT station,Central District,"(1.3707675, 103.8486932)"
57,1647935913-3942,https://www.toilet.org.sg/loomapdirectory,MRT Station,Telok Blangah MRT station,https://www.toilet.org.sg/gallery/199/4-star-toilet-telok-blangah-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","38, Toa Payoh Rise, S(298113)",Telok Blangah MRT station,South West District,"(1.3378174, 103.8394749)"
58,1647935913-3882,https://www.toilet.org.sg/loomapdirectory,MRT Station,Paya Lebar MRT Station CC09,https://www.toilet.org.sg/gallery/258/4-stars-paya-lebar-mrt-station-cc09,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","30 Paya Lebar Road, S(409006)",Paya Lebar MRT Station CC09,South East District,"(1.3181412, 103.8931028)"
59,1647935913-3941,https://www.toilet.org.sg/loomapdirectory,MRT Station,Pioneer MRT Station (EW28),https://www.toilet.org.sg/gallery/352/4-star-toilet-pioneer-mrt-station-ew-28,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","31 Jurong West Street 63, S(648310)",Pioneer MRT Station (EW28),South West District,"(1.3375443, 103.696933)"
60,1647935913-3865,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Bedok Food Centre,https://www.toilet.org.sg/gallery/150/4-star-toilet-bedok-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","1 Bedok Road, S(469572)",Bedok Food Centre,South East District,"(1.3203848, 103.9555055)"
61,1647935913-3784,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Compassvale Bus Interchange,https://www.toilet.org.sg/gallery/288/3-star-toilet-compassvale-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","51A, Compassvale Road, S(544760)",Compassvale Bus Interchange,North East District,"(1.3912847, 103.8972048)"
62,1647935913-3868,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,East Coast Lagoon Food Village,https://www.toilet.org.sg/gallery/409/5-star-toilet-east-coast-lagoon-food-village,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","1220 East Coast Parkway, S(468960)",East Coast Lagoon Food Village,South East District,"(1.3068502, 103.9349848)"
63,1647935913-3703,https://www.toilet.org.sg/loomapdirectory,MRT Station,Braddell MRT Station,https://www.toilet.org.sg/gallery/81/4-star-toilet-braddell-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","377 Lorong 1, Toa Payoh, S(319756)",Braddell MRT Station,Central District,"(1.340703, 103.84668)"
64,1647935913-3852,https://www.toilet.org.sg/loomapdirectory,MRT Station,Yishun MRT Station (NS13),https://www.toilet.org.sg/gallery/364/4-star-toilet-yishun-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","301 Yishun Avenue 2, S(769093)",Yishun MRT Station (NS13),North West District,"(1.4292805, 103.8351674)"
